Iteracion,Costo_Actual,Mejor_Costo,Tiempo_Segundos
0,2907,2907,0.66
1,inf,2907,0.68
2,inf,2907,0.73
3,inf,2907,0.75
4,inf,2907,0.77
5,inf,2907,0.79
6,inf,2907,0.82
7,inf,2907,0.87
8,inf,2907,0.89
9,inf,2907,0.91
10,inf,2907,0.93
11,inf,2907,0.98
12,inf,2907,1.03
13,inf,2907,1.08
14,inf,2907,1.10
15,inf,2907,1.12
16,inf,2907,1.14
17,inf,2907,1.16
18,inf,2907,1.18
19,inf,2907,1.23
20,inf,2907,1.26
21,inf,2907,1.31
22,inf,2907,1.33
23,inf,2907,1.38
24,inf,2907,1.40
25,inf,2907,1.42
26,inf,2907,1.44
27,inf,2907,1.46
28,inf,2907,1.49
29,inf,2907,1.51
30,inf,2907,1.56
31,inf,2907,1.61
32,inf,2907,1.66
33,inf,2907,1.68
34,inf,2907,1.70
35,inf,2907,1.75
36,inf,2907,1.80
37,inf,2907,1.85
38,inf,2907,1.90
39,inf,2907,1.92
40,inf,2907,1.97
41,inf,2907,2.02
42,inf,2907,2.04
43,inf,2907,2.06
44,inf,2907,2.08
45,inf,2907,2.10
46,inf,2907,2.11
47,inf,2907,2.16
48,inf,2907,2.19
49,inf,2907,2.23
50,inf,2907,2.25
51,inf,2907,2.48
52,inf,2907,2.53
53,inf,2907,2.58
54,inf,2907,2.62
55,inf,2907,2.67
56,inf,2907,2.69
57,inf,2907,2.71
58,inf,2907,2.73
59,inf,2907,2.78
60,inf,2907,2.80
61,inf,2907,2.85
62,inf,2907,2.87
63,inf,2907,2.89
64,inf,2907,2.94
65,inf,2907,2.96
66,inf,2907,3.01
67,inf,2907,3.03
68,inf,2907,3.08
69,inf,2907,3.09
70,inf,2907,3.12
71,inf,2907,3.14
72,inf,2907,3.16
73,inf,2907,3.21
74,inf,2907,3.25
75,inf,2907,3.27
76,inf,2907,3.30
77,inf,2907,3.32
78,inf,2907,3.34
79,inf,2907,3.38
80,inf,2907,3.41
81,inf,2907,3.43
82,inf,2907,3.48
83,inf,2907,3.53
84,inf,2907,3.55
85,inf,2907,3.58
86,inf,2907,3.63
87,inf,2907,3.65
88,inf,2907,3.67
89,inf,2907,3.69
90,inf,2907,3.72
91,inf,2907,3.74
92,inf,2907,3.76
93,inf,2907,3.79
94,inf,2907,3.81
95,inf,2907,3.83
96,inf,2907,3.85
97,inf,2907,3.87
98,inf,2907,3.92
99,inf,2907,3.97
100,inf,2907,3.99
101,inf,2907,4.19
102,inf,2907,4.21
103,inf,2907,4.23
104,inf,2907,4.25
105,inf,2907,4.27
106,inf,2907,4.30
107,inf,2907,4.32
108,inf,2907,4.37
109,inf,2907,4.43
110,inf,2907,4.45
111,inf,2907,4.47
112,inf,2907,4.49
113,inf,2907,4.51
114,inf,2907,4.53
115,inf,2907,4.55
116,inf,2907,4.57
117,inf,2907,4.59
118,inf,2907,4.61
119,inf,2907,4.63
120,inf,2907,4.67
121,inf,2907,4.72
122,inf,2907,4.74
123,inf,2907,4.76
124,inf,2907,4.78
125,inf,2907,4.83
126,inf,2907,4.85
127,inf,2907,4.87
128,inf,2907,4.92
129,inf,2907,4.97
130,inf,2907,5.02
131,inf,2907,5.04
132,inf,2907,5.06
133,inf,2907,5.08
134,inf,2907,5.10
135,inf,2907,5.12
136,inf,2907,5.14
137,inf,2907,5.18
138,inf,2907,5.20
139,inf,2907,5.22
140,inf,2907,5.25
141,inf,2907,5.26
142,inf,2907,5.31
143,inf,2907,5.33
144,inf,2907,5.35
145,inf,2907,5.38
146,inf,2907,5.42
147,inf,2907,5.47
148,inf,2907,5.53
149,inf,2907,5.55
150,inf,2907,5.57
151,inf,2907,5.77
152,inf,2907,5.79
153,inf,2907,5.83
154,inf,2907,5.88
155,inf,2907,5.90
156,inf,2907,5.92
157,inf,2907,5.94
158,inf,2907,5.96
159,inf,2907,5.98
160,inf,2907,6.00
161,inf,2907,6.02
162,inf,2907,6.04
163,inf,2907,6.06
164,inf,2907,6.08
165,inf,2907,6.12
166,inf,2907,6.14
167,inf,2907,6.16
168,inf,2907,6.18
169,inf,2907,6.20
170,inf,2907,6.22
171,inf,2907,6.24
172,inf,2907,6.26
173,inf,2907,6.31
174,inf,2907,6.36
175,inf,2907,6.38
176,inf,2907,6.40
177,inf,2907,6.42
178,inf,2907,6.44
179,inf,2907,6.49
180,inf,2907,6.50
181,inf,2907,6.55
182,inf,2907,6.57
183,inf,2907,6.59
184,inf,2907,6.61
185,inf,2907,6.66
186,inf,2907,6.68
187,inf,2907,6.70
188,inf,2907,6.72
189,inf,2907,6.77
190,inf,2907,6.79
191,inf,2907,6.84
192,inf,2907,6.86
193,inf,2907,6.90
194,inf,2907,6.93
195,inf,2907,6.94
196,inf,2907,6.97
197,inf,2907,6.99
198,inf,2907,7.04
199,inf,2907,7.06
200,inf,2907,7.08
201,inf,2907,7.28
202,inf,2907,7.33
203,inf,2907,7.37
204,inf,2907,7.39
205,inf,2907,7.44
206,inf,2907,7.46
207,inf,2907,7.48
208,inf,2907,7.53
209,inf,2907,7.58
210,inf,2907,7.60
211,inf,2907,7.65
212,inf,2907,7.67
213,inf,2907,7.69
214,inf,2907,7.71
215,inf,2907,7.76
216,inf,2907,7.78
217,inf,2907,7.83
218,inf,2907,7.85
219,inf,2907,7.90
220,inf,2907,7.94
221,inf,2907,7.97
222,inf,2907,8.01
223,inf,2907,8.06
224,inf,2907,8.11
225,inf,2907,8.13
226,inf,2907,8.15
227,inf,2907,8.20
228,inf,2907,8.24
229,inf,2907,8.29
230,inf,2907,8.31
231,inf,2907,8.33
232,inf,2907,8.35
233,inf,2907,8.40
234,inf,2907,8.42
235,inf,2907,8.44
236,inf,2907,8.46
237,inf,2907,8.48
238,inf,2907,8.50
239,inf,2907,8.55
240,inf,2907,8.57
241,inf,2907,8.59
242,inf,2907,8.61
243,inf,2907,8.63
244,inf,2907,8.65
245,inf,2907,8.67
246,inf,2907,8.69
247,inf,2907,8.71
248,inf,2907,8.73
249,inf,2907,8.77
250,inf,2907,8.80
251,inf,2907,9.02
252,inf,2907,9.07
253,inf,2907,9.12
254,inf,2907,9.14
255,inf,2907,9.16
256,inf,2907,9.18
257,inf,2907,9.20
258,inf,2907,9.22
259,inf,2907,9.24
260,inf,2907,9.29
261,inf,2907,9.33
262,inf,2907,9.36
263,inf,2907,9.40
264,inf,2907,9.43
265,inf,2907,9.45
266,inf,2907,9.47
267,inf,2907,9.51
268,inf,2907,9.56
269,inf,2907,9.58
270,inf,2907,9.60
271,inf,2907,9.65
272,inf,2907,9.67
273,inf,2907,9.69
274,inf,2907,9.71
275,inf,2907,9.75
276,inf,2907,9.77
277,inf,2907,9.79
278,inf,2907,9.81
279,inf,2907,9.83
280,inf,2907,9.85
281,inf,2907,9.90
282,inf,2907,9.92
283,inf,2907,9.94
284,inf,2907,9.96
285,inf,2907,9.98
286,inf,2907,10.00
287,inf,2907,10.02
288,inf,2907,10.04
289,inf,2907,10.06
290,inf,2907,10.08
291,inf,2907,10.13
292,inf,2907,10.15
293,inf,2907,10.17
294,inf,2907,10.19
295,inf,2907,10.21
296,inf,2907,10.26
297,inf,2907,10.28
298,inf,2907,10.30
299,inf,2907,10.34
300,inf,2907,10.39
301,inf,2907,10.59
302,inf,2907,10.65
303,inf,2907,10.67
304,inf,2907,10.69
305,inf,2907,10.71
306,inf,2907,10.73
307,inf,2907,10.76
308,inf,2907,10.80
309,inf,2907,10.82
310,inf,2907,10.84
311,inf,2907,10.86
312,inf,2907,10.88
313,inf,2907,10.90
314,inf,2907,10.92
315,inf,2907,10.97
316,inf,2907,10.99
317,inf,2907,11.02
318,inf,2907,11.06
319,inf,2907,11.08
320,inf,2907,11.10
321,inf,2907,11.12
322,inf,2907,11.15
323,inf,2907,11.17
324,inf,2907,11.22
325,inf,2907,11.24
326,inf,2907,11.25
327,inf,2907,11.27
328,inf,2907,11.32
329,inf,2907,11.37
330,inf,2907,11.39
331,inf,2907,11.44
332,inf,2907,11.46
333,inf,2907,11.48
334,inf,2907,11.50
335,inf,2907,11.52
336,inf,2907,11.56
337,inf,2907,11.61
338,inf,2907,11.66
339,inf,2907,11.71
340,inf,2907,11.73
341,inf,2907,11.75
342,inf,2907,11.77
343,inf,2907,11.82
344,inf,2907,11.84
345,inf,2907,11.86
346,inf,2907,11.91
347,inf,2907,11.96
348,inf,2907,11.98
349,inf,2907,12.00
350,inf,2907,12.05
351,inf,2907,12.26
352,inf,2907,12.31
353,inf,2907,12.33
354,inf,2907,12.35
355,inf,2907,12.37
356,inf,2907,12.39
357,inf,2907,12.41
358,inf,2907,12.43
359,inf,2907,12.46
360,inf,2907,12.48
361,inf,2907,12.50
362,inf,2907,12.55
363,inf,2907,12.59
364,inf,2907,12.61
365,inf,2907,12.64
366,inf,2907,12.66
367,inf,2907,12.68
368,inf,2907,12.70
369,inf,2907,12.72
370,inf,2907,12.77
