Iteracion,Costo_Actual,Mejor_Costo,Tiempo_Segundos
0,3322,3322,5.26
1,inf,3322,5.30
2,inf,3322,5.31
3,inf,3322,5.35
4,inf,3322,5.37
5,inf,3322,5.38
6,inf,3322,5.39
7,inf,3322,5.40
8,inf,3322,5.44
9,inf,3322,5.48
10,inf,3322,5.52
11,inf,3322,5.53
12,inf,3322,5.54
13,inf,3322,5.56
14,inf,3322,5.57
15,inf,3322,5.61
16,inf,3322,5.62
17,inf,3322,5.66
18,inf,3322,5.70
19,inf,3322,5.71
20,inf,3322,5.72
21,inf,3322,5.74
22,inf,3322,5.75
23,inf,3322,5.76
24,inf,3322,5.77
25,inf,3322,5.79
26,inf,3322,5.80
27,inf,3322,5.81
28,inf,3322,5.82
29,inf,3322,5.86
30,inf,3322,5.89
31,inf,3322,5.91
32,inf,3322,5.92
33,inf,3322,5.96
34,inf,3322,5.97
35,inf,3322,5.98
36,inf,3322,5.99
37,inf,3322,6.00
38,inf,3322,6.02
39,inf,3322,6.06
40,inf,3322,6.07
41,inf,3322,6.11
42,inf,3322,6.16
43,inf,3322,6.17
44,inf,3322,6.21
45,inf,3322,6.22
46,inf,3322,6.23
47,inf,3322,6.24
48,inf,3322,6.25
49,inf,3322,6.26
50,inf,3322,6.31
51,inf,3322,6.51
52,inf,3322,6.55
53,inf,3322,6.56
54,inf,3322,6.57
55,inf,3322,6.61
56,inf,3322,6.63
57,inf,3322,6.64
58,inf,3322,6.65
59,inf,3322,6.68
60,inf,3322,6.69
61,inf,3322,6.74
62,inf,3322,6.75
63,inf,3322,6.80
64,inf,3322,6.81
65,inf,3322,6.82
66,inf,3322,6.83
67,inf,3322,6.88
68,inf,3322,6.89
69,inf,3322,6.90
70,inf,3322,6.92
71,inf,3322,6.94
72,inf,3322,6.95
73,inf,3322,6.96
74,inf,3322,7.00
75,inf,3322,7.01
76,inf,3322,7.02
77,inf,3322,7.06
78,inf,3322,7.07
79,inf,3322,7.09
80,inf,3322,7.10
81,inf,3322,7.11
82,inf,3322,7.15
83,inf,3322,7.17
84,inf,3322,7.21
85,inf,3322,7.22
86,inf,3322,7.26
87,inf,3322,7.28
88,inf,3322,7.29
89,inf,3322,7.33
90,inf,3322,7.34
91,inf,3322,7.38
92,inf,3322,7.39
93,inf,3322,7.43
94,inf,3322,7.44
95,inf,3322,7.48
96,inf,3322,7.49
97,inf,3322,7.51
98,inf,3322,7.52
99,inf,3322,7.53
100,inf,3322,7.55
101,inf,3322,7.75
102,inf,3322,7.78
103,inf,3322,7.80
104,inf,3322,7.81
105,inf,3322,7.82
106,inf,3322,7.84
107,inf,3322,7.88
108,inf,3322,7.89
109,inf,3322,7.91
110,inf,3322,7.95
111,inf,3322,7.96
112,inf,3322,7.97
113,inf,3322,7.99
114,inf,3322,8.03
115,inf,3322,8.07
116,inf,3322,8.08
117,inf,3322,8.12
118,inf,3322,8.13
119,inf,3322,8.14
120,inf,3322,8.15
121,inf,3322,8.19
122,inf,3322,8.20
123,inf,3322,8.25
124,inf,3322,8.29
125,inf,3322,8.31
126,inf,3322,8.32
127,inf,3322,8.33
128,inf,3322,8.37
129,inf,3322,8.39
130,inf,3322,8.40
131,inf,3322,8.45
132,inf,3322,8.49
133,inf,3322,8.53
134,inf,3322,8.56
135,inf,3322,8.58
136,inf,3322,8.62
137,inf,3322,8.63
138,inf,3322,8.65
139,inf,3322,8.66
140,inf,3322,8.67
141,inf,3322,8.71
142,inf,3322,8.72
143,inf,3322,8.73
144,inf,3322,8.77
145,inf,3322,8.78
146,inf,3322,8.80
147,inf,3322,8.81
148,inf,3322,8.85
149,inf,3322,8.89
150,inf,3322,8.90
151,inf,3322,9.11
152,inf,3322,9.15
153,inf,3322,9.16
154,inf,3322,9.17
155,inf,3322,9.21
156,inf,3322,9.22
157,inf,3322,9.27
158,inf,3322,9.28
159,inf,3322,9.29
160,inf,3322,9.30
161,inf,3322,9.35
162,inf,3322,9.36
163,inf,3322,9.38
164,inf,3322,9.39
165,inf,3322,9.43
166,inf,3322,9.44
167,inf,3322,9.46
168,inf,3322,9.50
169,inf,3322,9.51
170,inf,3322,9.56
171,inf,3322,9.57
172,inf,3322,9.58
173,inf,3322,9.59
174,inf,3322,9.61
175,inf,3322,9.65
176,inf,3322,9.66
177,inf,3322,9.67
178,inf,3322,9.68
179,inf,3322,9.72
180,inf,3322,9.73
181,inf,3322,9.77
182,inf,3322,9.79
183,inf,3322,9.80
184,inf,3322,9.82
185,inf,3322,9.84
186,inf,3322,9.85
187,inf,3322,9.86
188,inf,3322,9.87
189,inf,3322,9.91
190,inf,3322,9.92
191,inf,3322,9.94
192,inf,3322,9.95
193,inf,3322,9.96
194,inf,3322,9.97
195,inf,3322,9.98
196,inf,3322,10.02
197,inf,3322,10.06
198,inf,3322,10.10
199,inf,3322,10.11
200,inf,3322,10.15
201,inf,3322,10.35
202,inf,3322,10.40
203,inf,3322,10.41
204,inf,3322,10.43
205,inf,3322,10.44
206,inf,3322,10.46
207,inf,3322,10.53
208,inf,3322,10.55
209,inf,3322,10.56
210,inf,3322,10.58
211,inf,3322,10.59
212,inf,3322,10.61
213,inf,3322,10.62
214,inf,3322,10.63
215,inf,3322,10.65
216,inf,3322,10.66
217,inf,3322,10.67
218,inf,3322,10.68
219,inf,3322,10.70
220,inf,3322,10.71
221,inf,3322,10.73
222,inf,3322,10.76
223,inf,3322,10.77
224,inf,3322,10.81
225,inf,3322,10.82
226,inf,3322,10.83
227,inf,3322,10.84
228,inf,3322,10.88
229,inf,3322,10.90
230,inf,3322,10.94
231,inf,3322,10.95
232,inf,3322,10.96
233,inf,3322,11.01
234,inf,3322,11.02
235,inf,3322,11.03
236,inf,3322,11.04
237,inf,3322,11.06
238,inf,3322,11.07
239,inf,3322,11.08
240,inf,3322,11.12
241,inf,3322,11.13
242,inf,3322,11.14
243,inf,3322,11.19
244,inf,3322,11.23
245,inf,3322,11.24
246,inf,3322,11.25
247,inf,3322,11.27
248,inf,3322,11.32
249,inf,3322,11.33
250,inf,3322,11.34
251,inf,3322,11.57
252,inf,3322,11.61
253,inf,3322,11.62
254,inf,3322,11.63
255,inf,3322,11.64
256,inf,3322,11.66
257,inf,3322,11.67
258,inf,3322,11.68
259,inf,3322,11.69
260,inf,3322,11.73
261,inf,3322,11.74
262,inf,3322,11.75
263,inf,3322,11.77
264,inf,3322,11.82
265,inf,3322,11.83
266,inf,3322,11.85
267,inf,3322,11.86
268,inf,3322,11.90
269,inf,3322,11.91
270,inf,3322,11.92
