Iteracion,Costo_Actual,Mejor_Costo,Tiempo_Segundos
0,293087,293087,312.59
1,inf,293087,312.62
2,inf,293087,312.65
3,inf,293087,312.69
4,inf,293087,312.72
5,inf,293087,312.75
6,inf,293087,312.79
7,inf,293087,312.83
8,inf,293087,312.86
9,inf,293087,312.89
10,inf,293087,312.93
11,inf,293087,312.96
12,inf,293087,312.99
13,inf,293087,313.02
14,inf,293087,313.05
15,inf,293087,313.09
16,inf,293087,313.13
17,inf,293087,313.17
18,inf,293087,313.20
19,inf,293087,313.24
20,inf,293087,313.27
21,inf,293087,313.31
22,inf,293087,313.34
23,inf,293087,313.37
24,inf,293087,313.40
25,inf,293087,313.43
26,inf,293087,313.47
27,inf,293087,313.50
28,inf,293087,313.53
29,inf,293087,313.55
30,inf,293087,313.59
31,inf,293087,313.63
32,inf,293087,313.67
33,inf,293087,313.70
34,inf,293087,313.73
35,inf,293087,313.76
36,inf,293087,313.79
37,inf,293087,313.82
38,inf,293087,313.86
39,inf,293087,313.89
40,inf,293087,313.93
41,inf,293087,313.96
42,inf,293087,313.99
43,inf,293087,314.02
44,inf,293087,314.05
45,inf,293087,314.08
46,inf,293087,314.11
47,inf,293087,314.14
48,inf,293087,314.18
49,inf,293087,314.22
50,inf,293087,314.26
51,inf,293087,315.44
52,inf,293087,315.47
53,inf,293087,315.50
54,inf,293087,315.52
55,inf,293087,315.55
56,inf,293087,315.59
57,inf,293087,315.64
58,inf,293087,315.68
59,inf,293087,315.71
60,inf,293087,315.74
61,inf,293087,315.78
62,inf,293087,315.80
63,inf,293087,315.83
64,inf,293087,315.86
65,inf,293087,315.89
66,inf,293087,315.91
67,inf,293087,315.94
68,inf,293087,315.96
69,inf,293087,315.99
70,inf,293087,316.02
71,inf,293087,316.06
72,inf,293087,316.09
73,inf,293087,316.12
74,inf,293087,316.15
75,inf,293087,316.18
76,inf,293087,316.21
77,inf,293087,316.24
78,inf,293087,316.27
79,inf,293087,316.29
80,inf,293087,316.32
81,inf,293087,316.35
82,inf,293087,316.38
83,inf,293087,316.41
84,inf,293087,316.44
85,inf,293087,316.48
