Iteracion,Costo_Actual,Mejor_Costo,Tiempo_Segundos
243,inf,372706,1667.17
244,inf,372706,1667.23
245,inf,372706,1667.28
246,inf,372706,1667.34
247,inf,372706,1667.41
248,inf,372706,1667.48
249,inf,372706,1667.53
250,inf,372706,1667.58
251,inf,372706,1671.36
252,inf,372706,1671.43
253,inf,372706,1671.48
254,inf,372706,1671.54
255,inf,372706,1671.61
256,inf,372706,1671.66
257,inf,372706,1671.71
258,inf,372706,1671.76
259,inf,372706,1671.82
260,inf,372706,1671.87
261,inf,372706,1671.92
262,inf,372706,1671.99
263,inf,372706,1672.05
264,inf,372706,1672.10
265,inf,372706,1672.17
266,inf,372706,1672.24
267,inf,372706,1672.30
268,inf,372706,1672.36
269,inf,372706,1672.44
270,inf,372706,1672.50
271,inf,372706,1672.55
272,inf,372706,1672.62
273,inf,372706,1672.70
274,inf,372706,1672.75
275,inf,372706,1672.82
276,inf,372706,1672.87
277,inf,372706,1672.93
278,inf,372706,1672.99
279,inf,372706,1673.06
280,inf,372706,1673.13
281,inf,372706,1673.19
282,inf,372706,1673.26
283,inf,372706,1673.31
284,inf,372706,1673.37
285,inf,372706,1673.42
286,inf,372706,1673.47
287,inf,372706,1673.52
288,inf,372706,1673.57
289,inf,372706,1673.63
290,inf,372706,1673.70
291,inf,372706,1673.75
292,inf,372706,1673.80
293,inf,372706,1673.88
294,inf,372706,1673.93
295,inf,372706,1673.99
296,inf,372706,1674.05
297,inf,372706,1674.10
298,inf,372706,1674.16
299,inf,372706,1674.21
300,inf,372706,1674.26
301,inf,372706,1678.02
302,inf,372706,1678.07
303,inf,372706,1678.12
304,inf,372706,1678.18
305,inf,372706,1678.23
306,inf,372706,1678.30
307,inf,372706,1678.35
308,inf,372706,1678.40
309,inf,372706,1678.46
310,inf,372706,1678.51
311,inf,372706,1678.59
312,inf,372706,1678.64
313,inf,372706,1678.70
314,inf,372706,1678.75
315,inf,372706,1678.82
316,inf,372706,1678.89
317,inf,372706,1678.95
318,inf,372706,1679.00
319,inf,372706,1679.05
320,inf,372706,1679.11
321,inf,372706,1679.18
322,inf,372706,1679.23
323,inf,372706,1679.30
324,inf,372706,1679.36
325,inf,372706,1679.41
326,inf,372706,1679.46
327,inf,372706,1679.53
328,inf,372706,1679.59
329,inf,372706,1679.65
330,inf,372706,1679.71
331,inf,372706,1679.76
332,inf,372706,1679.83
333,inf,372706,1679.88
334,inf,372706,1679.94
335,inf,372706,1679.99
336,inf,372706,1680.05
337,inf,372706,1680.10
338,inf,372706,1680.18
339,inf,372706,1680.23
340,inf,372706,1680.28
341,inf,372706,1680.34
342,inf,372706,1680.39
343,inf,372706,1680.44
344,inf,372706,1680.50
345,inf,372706,1680.55
346,inf,372706,1680.61
347,inf,372706,1680.68
348,inf,372706,1680.73
349,inf,372706,1680.80
350,inf,372706,1680.85
351,inf,372706,1684.62
352,inf,372706,1684.69
353,inf,372706,1684.74
354,inf,372706,1684.79
355,inf,372706,1684.85
356,inf,372706,1684.90
357,inf,372706,1684.95
358,inf,372706,1685.01
359,inf,372706,1685.07
360,inf,372706,1685.13
361,inf,372706,1685.20
362,inf,372706,1685.25
363,inf,372706,1685.30
364,inf,372706,1685.38
365,inf,372706,1685.43
366,inf,372706,1685.49
367,inf,372706,1685.56
368,inf,372706,1685.63
369,inf,372706,1685.70
370,inf,372706,1685.76
371,inf,372706,1685.81
372,inf,372706,1685.87
373,inf,372706,1685.92
374,inf,372706,1685.97
375,inf,372706,1686.04
376,inf,372706,1686.09
377,inf,372706,1686.15
378,inf,372706,1686.21
379,inf,372706,1686.27
380,inf,372706,1686.32
381,inf,372706,1686.38
382,inf,372706,1686.43
383,inf,372706,1686.49
384,inf,372706,1686.54
385,inf,372706,1686.61
386,inf,372706,1686.66
387,inf,372706,1686.72
388,inf,372706,1686.79
389,inf,372706,1686.86
390,inf,372706,1686.92
391,inf,372706,1686.97
392,inf,372706,1687.03
393,inf,372706,1687.09
394,inf,372706,1687.15
395,inf,372706,1687.21
396,inf,372706,1687.28
397,inf,372706,1687.33
398,inf,372706,1687.39
399,inf,372706,1687.46
400,inf,372706,1687.54
401,inf,372706,1691.32
402,inf,372706,1691.37
403,inf,372706,1691.42
404,inf,372706,1691.47
405,inf,372706,1691.60
406,inf,372706,1691.65
407,inf,372706,1691.72
408,inf,372706,1691.77
409,inf,372706,1691.83
410,inf,372706,1691.90
411,inf,372706,1691.95
412,inf,372706,1692.02
413,inf,372706,1692.09
414,inf,372706,1692.14
415,inf,372706,1692.19
416,inf,372706,1692.24
417,inf,372706,1692.31
418,inf,372706,1692.36
419,inf,372706,1692.45
420,inf,372706,1692.50
421,inf,372706,1692.55
422,inf,372706,1692.61
423,inf,372706,1692.66
424,inf,372706,1692.71
425,inf,372706,1692.78
426,inf,372706,1692.83
427,inf,372706,1692.89
428,inf,372706,1692.94
429,inf,372706,1693.00
430,inf,372706,1693.06
431,inf,372706,1693.11
432,inf,372706,1693.16
433,inf,372706,1693.22
434,inf,372706,1693.27
435,inf,372706,1693.33
436,inf,372706,1693.39
437,inf,372706,1693.44
438,inf,372706,1693.50
439,inf,372706,1693.55
440,inf,372706,1693.60
441,inf,372706,1693.68
442,inf,372706,1693.73
443,inf,372706,1693.80
444,inf,372706,1693.88
445,inf,372706,1693.95
446,inf,372706,1694.02
447,inf,372706,1694.09
448,inf,372706,1694.14
449,inf,372706,1694.22
450,inf,372706,1694.27
451,448649,372706,1698.05
452,549245,372706,1698.14
453,inf,372706,1698.20
454,inf,372706,1698.25
455,inf,372706,1698.32
456,inf,372706,1698.39
457,inf,372706,1698.46
458,inf,372706,1698.51
459,inf,372706,1698.59
460,inf,372706,1698.64
461,inf,372706,1698.69
462,inf,372706,1698.74
463,inf,372706,1698.81
464,inf,372706,1698.88
465,inf,372706,1698.94
466,inf,372706,1699.00
467,inf,372706,1699.05
468,inf,372706,1699.12
469,inf,372706,1699.17
470,inf,372706,1699.22
471,inf,372706,1699.29
472,inf,372706,1699.34
473,inf,372706,1699.39
474,inf,372706,1699.44
475,inf,372706,1699.50
476,inf,372706,1699.57
477,inf,372706,1699.63
478,inf,372706,1699.68
479,inf,372706,1699.75
480,inf,372706,1699.80
481,inf,372706,1699.87
482,inf,372706,1699.92
483,inf,372706,1699.98
484,inf,372706,1700.05
485,inf,372706,1700.13
486,inf,372706,1700.18
487,inf,372706,1700.23
488,inf,372706,1700.30
489,inf,372706,1700.35
490,inf,372706,1700.40
491,inf,372706,1700.48
492,inf,372706,1700.53
493,inf,372706,1700.59
494,inf,372706,1700.64
495,inf,372706,1700.69
496,inf,372706,1700.75
497,inf,372706,1700.82
498,inf,372706,1700.89
499,inf,372706,1700.95
500,inf,372706,1701.01
501,inf,372706,1704.81
502,inf,372706,1704.87
503,inf,372706,1704.94
504,inf,372706,1704.99
505,inf,372706,1705.07
506,inf,372706,1705.13
507,inf,372706,1705.18
508,inf,372706,1705.24
509,inf,372706,1705.30
510,inf,372706,1705.37
511,inf,372706,1705.42
512,inf,372706,1705.48
513,inf,372706,1705.53
