Iteracion,Costo_Actual,Mejor_Costo,Tiempo_Segundos
0,382456,382456,543.09
1,inf,382456,543.16
2,inf,382456,543.21
3,inf,382456,543.30
4,inf,382456,543.36
5,inf,382456,543.43
6,inf,382456,543.50
7,inf,382456,543.56
8,inf,382456,543.63
9,inf,382456,543.77
10,inf,382456,543.83
11,inf,382456,543.91
12,inf,382456,544.01
13,inf,382456,544.21
14,inf,382456,544.30
15,inf,382456,544.41
16,inf,382456,544.47
17,inf,382456,544.60
18,inf,382456,544.71
19,inf,382456,544.83
20,inf,382456,544.95
21,inf,382456,545.04
22,inf,382456,545.17
23,inf,382456,545.25
24,inf,382456,545.42
25,inf,382456,545.50
26,inf,382456,545.65
27,inf,382456,545.75
28,inf,382456,545.84
29,inf,382456,546.00
30,inf,382456,546.11
31,inf,382456,546.27
32,inf,382456,546.41
33,inf,382456,546.48
34,inf,382456,546.57
35,inf,382456,546.71
36,inf,382456,546.87
37,inf,382456,546.96
38,inf,382456,547.08
39,inf,382456,547.18
40,inf,382456,547.27
41,inf,382456,547.40
42,inf,382456,547.50
43,inf,382456,547.58
44,inf,382456,547.68
45,inf,382456,547.81
46,inf,382456,547.94
47,inf,382456,548.06
48,inf,382456,548.17
49,inf,382456,548.24
50,inf,382456,548.34
51,inf,382456,550.47
52,inf,382456,550.53
53,inf,382456,550.58
54,inf,382456,550.65
55,inf,382456,550.74
56,inf,382456,550.82
57,inf,382456,550.88
58,inf,382456,550.95
59,inf,382456,551.06
60,inf,382456,551.16
61,inf,382456,551.30
62,inf,382456,551.40
63,inf,382456,551.52
64,inf,382456,551.67
65,inf,382456,551.74
66,inf,382456,551.86
67,inf,382456,551.96
68,inf,382456,552.07
69,inf,382456,552.19
70,inf,382456,552.31
71,inf,382456,552.43
72,inf,382456,552.50
73,inf,382456,552.64
74,inf,382456,552.77
75,inf,382456,552.85
76,inf,382456,552.99
77,inf,382456,553.08
78,inf,382456,553.27
79,inf,382456,553.35
80,inf,382456,553.41
81,inf,382456,553.56
82,inf,382456,553.71
83,inf,382456,553.82
84,inf,382456,553.92
85,inf,382456,554.01
86,inf,382456,554.15
87,inf,382456,554.27
88,inf,382456,554.38
89,inf,382456,554.45
90,inf,382456,554.59
91,inf,382456,554.70
92,inf,382456,554.79
93,inf,382456,554.89
94,inf,382456,554.98
95,inf,382456,555.13
96,inf,382456,555.29
97,inf,382456,555.42
98,inf,382456,555.61
99,inf,382456,555.74
100,inf,382456,555.89
101,inf,382456,558.05
102,inf,382456,558.10
103,inf,382456,558.16
104,inf,382456,558.22
105,inf,382456,558.28
106,inf,382456,558.36
107,inf,382456,558.43
108,inf,382456,558.50
109,inf,382456,558.59
110,inf,382456,558.70
111,inf,382456,558.79
112,inf,382456,558.90
113,inf,382456,559.00
114,inf,382456,559.08
115,inf,382456,559.19
116,inf,382456,559.36
117,inf,382456,559.45
118,inf,382456,559.59
119,inf,382456,559.65
120,inf,382456,559.79
121,inf,382456,559.84
122,inf,382456,559.97
123,inf,382456,560.08
124,inf,382456,560.22
125,inf,382456,560.31
126,inf,382456,560.40
127,inf,382456,560.49
128,inf,382456,560.61
129,inf,382456,560.81
130,inf,382456,560.88
131,inf,382456,561.02
132,inf,382456,561.09
133,inf,382456,561.17
134,inf,382456,561.31
135,inf,382456,561.40
136,inf,382456,561.48
137,inf,382456,561.59
138,inf,382456,561.66
139,inf,382456,561.87
140,inf,382456,562.01
141,inf,382456,562.11
142,inf,382456,562.28
143,inf,382456,562.38
144,inf,382456,562.47
145,inf,382456,562.57
146,inf,382456,562.69
147,inf,382456,562.81
148,inf,382456,562.88
149,inf,382456,562.99
150,inf,382456,563.13
151,inf,382456,565.30
152,inf,382456,565.35
153,inf,382456,565.41
154,inf,382456,565.50
155,inf,382456,565.60
156,inf,382456,565.65
157,inf,382456,565.70
158,inf,382456,565.81
159,inf,382456,565.87
160,inf,382456,566.00
161,inf,382456,566.12
