Iteracion,Costo_Actual,Mejor_Costo,Tiempo_Segundos
0,168851,168851,839.34
1,inf,168851,839.38
2,inf,168851,839.42
3,inf,168851,839.48
4,inf,168851,839.52
5,inf,168851,839.56
6,inf,168851,839.59
7,inf,168851,839.66
8,inf,168851,839.70
9,inf,168851,839.75
10,inf,168851,839.80
11,inf,168851,839.83
12,inf,168851,839.89
13,inf,168851,839.94
14,inf,168851,839.97
15,inf,168851,840.01
16,inf,168851,840.05
17,inf,168851,840.09
18,inf,168851,840.13
19,inf,168851,840.19
20,inf,168851,840.23
21,inf,168851,840.27
22,inf,168851,840.31
23,inf,168851,840.35
24,inf,168851,840.39
25,inf,168851,840.43
26,inf,168851,840.47
27,inf,168851,840.51
28,inf,168851,840.56
29,inf,168851,840.60
30,inf,168851,840.66
31,inf,168851,840.70
32,inf,168851,840.74
33,inf,168851,840.80
34,inf,168851,840.84
35,inf,168851,840.90
36,inf,168851,840.94
37,inf,168851,840.98
38,inf,168851,841.02
39,inf,168851,841.07
40,inf,168851,841.11
41,inf,168851,841.15
42,inf,168851,841.20
43,inf,168851,841.24
44,inf,168851,841.28
45,inf,168851,841.32
46,inf,168851,841.36
47,inf,168851,841.40
48,inf,168851,841.43
49,inf,168851,841.48
50,inf,168851,841.51
51,inf,168851,843.96
52,inf,168851,844.00
53,inf,168851,844.04
54,inf,168851,844.07
55,inf,168851,844.13
56,inf,168851,844.17
57,inf,168851,844.22
58,inf,168851,844.26
59,inf,168851,844.30
60,inf,168851,844.34
61,inf,168851,844.38
62,inf,168851,844.42
63,inf,168851,844.46
64,inf,168851,844.50
65,inf,168851,844.55
66,inf,168851,844.61
67,inf,168851,844.65
68,inf,168851,844.71
69,inf,168851,844.75
70,inf,168851,844.79
71,inf,168851,844.85
72,inf,168851,844.91
73,inf,168851,844.98
74,inf,168851,845.01
75,inf,168851,845.05
76,inf,168851,845.11
77,inf,168851,845.15
78,inf,168851,845.19
79,inf,168851,845.23
80,inf,168851,845.27
81,inf,168851,845.31
82,inf,168851,845.35
83,inf,168851,845.39
84,inf,168851,845.43
85,inf,168851,845.47
86,inf,168851,845.53
87,inf,168851,845.57
88,inf,168851,845.61
89,inf,168851,845.67
90,inf,168851,845.71
91,inf,168851,845.77
92,inf,168851,845.81
93,inf,168851,845.85
94,inf,168851,845.89
95,inf,168851,845.93
96,inf,168851,845.97
97,inf,168851,846.01
98,inf,168851,846.05
99,inf,168851,846.10
100,inf,168851,846.14
101,inf,168851,848.61
102,inf,168851,848.64
103,inf,168851,848.68
104,inf,168851,848.72
105,inf,168851,848.76
106,inf,168851,848.80
107,inf,168851,848.84
108,inf,168851,848.90
109,inf,168851,848.94
