Iteracion,Costo_Actual,Mejor_Costo,Tiempo_Segundos
0,3220,3220,46.97
1,inf,3220,46.98
2,inf,3220,47.00
3,inf,3220,47.01
4,inf,3220,47.02
5,inf,3220,47.04
6,inf,3220,47.05
7,inf,3220,47.06
8,inf,3220,47.07
9,inf,3220,47.08
10,inf,3220,47.10
11,inf,3220,47.11
12,inf,3220,47.12
13,inf,3220,47.14
14,inf,3220,47.15
15,inf,3220,47.17
16,inf,3220,47.18
17,inf,3220,47.19
18,inf,3220,47.20
19,inf,3220,47.21
20,inf,3220,47.22
21,inf,3220,47.24
22,inf,3220,47.25
23,inf,3220,47.26
24,inf,3220,47.27
25,inf,3220,47.29
26,inf,3220,47.30
27,inf,3220,47.31
28,inf,3220,47.32
29,inf,3220,47.34
30,inf,3220,47.35
31,inf,3220,47.36
32,inf,3220,47.38
33,inf,3220,47.39
34,inf,3220,47.40
35,inf,3220,47.42
36,inf,3220,47.43
37,inf,3220,47.44
38,inf,3220,47.45
39,inf,3220,47.46
40,inf,3220,47.47
41,inf,3220,47.49
42,inf,3220,47.50
43,inf,3220,47.51
44,inf,3220,47.52
45,inf,3220,47.54
46,inf,3220,47.55
47,inf,3220,47.56
48,inf,3220,47.57
49,inf,3220,47.58
50,inf,3220,47.59
51,inf,3220,47.81
52,inf,3220,47.82
53,inf,3220,47.83
54,inf,3220,47.85
55,inf,3220,47.86
56,inf,3220,47.87
57,inf,3220,47.88
58,inf,3220,47.90
59,inf,3220,47.91
60,inf,3220,47.92
61,inf,3220,47.94
62,inf,3220,47.95
63,inf,3220,47.96
64,inf,3220,47.97
65,inf,3220,47.98
66,inf,3220,47.99
67,inf,3220,48.01
68,inf,3220,48.02
69,inf,3220,48.03
70,inf,3220,48.04
71,inf,3220,48.05
72,inf,3220,48.07
73,inf,3220,48.08
74,inf,3220,48.09
75,inf,3220,48.10
76,inf,3220,48.11
77,inf,3220,48.12
78,inf,3220,48.13
79,inf,3220,48.14
80,inf,3220,48.16
81,inf,3220,48.17
82,inf,3220,48.19
83,inf,3220,48.20
84,inf,3220,48.21
85,inf,3220,48.22
86,inf,3220,48.23
87,inf,3220,48.25
88,inf,3220,48.26
89,inf,3220,48.27
90,inf,3220,48.29
91,inf,3220,48.30
92,inf,3220,48.31
93,inf,3220,48.32
94,inf,3220,48.33
95,inf,3220,48.34
96,inf,3220,48.35
97,inf,3220,48.37
98,inf,3220,48.38
99,inf,3220,48.39
100,inf,3220,48.40
101,inf,3220,48.63
102,inf,3220,48.64
103,inf,3220,48.65
104,inf,3220,48.66
105,inf,3220,48.67
106,inf,3220,48.68
107,inf,3220,48.69
108,inf,3220,48.70
109,inf,3220,48.71
110,inf,3220,48.73
111,inf,3220,48.74
112,inf,3220,48.75
113,inf,3220,48.76
114,inf,3220,48.77
115,inf,3220,48.79
116,inf,3220,48.80
117,inf,3220,48.81
118,inf,3220,48.82
119,inf,3220,48.84
120,inf,3220,48.85
121,inf,3220,48.86
122,inf,3220,48.87
123,inf,3220,48.88
124,inf,3220,48.89
125,inf,3220,48.90
126,inf,3220,48.92
127,inf,3220,48.93
128,inf,3220,48.95
129,inf,3220,48.96
130,inf,3220,48.97
131,inf,3220,48.98
132,inf,3220,48.99
133,inf,3220,49.01
134,inf,3220,49.03
135,inf,3220,49.04
136,inf,3220,49.05
137,inf,3220,49.07
138,inf,3220,49.08
139,inf,3220,49.09
140,inf,3220,49.10
141,inf,3220,49.11
142,inf,3220,49.13
143,inf,3220,49.14
144,inf,3220,49.15
145,inf,3220,49.16
146,inf,3220,49.17
147,inf,3220,49.19
148,inf,3220,49.20
149,inf,3220,49.21
150,inf,3220,49.22
151,inf,3220,49.45
152,inf,3220,49.46
153,inf,3220,49.47
154,inf,3220,49.48
155,inf,3220,49.49
156,inf,3220,49.50
157,inf,3220,49.52
158,inf,3220,49.53
159,inf,3220,49.55
160,inf,3220,49.56
161,inf,3220,49.57
162,inf,3220,49.58
163,inf,3220,49.60
164,inf,3220,49.61
165,inf,3220,49.62
166,inf,3220,49.63
167,inf,3220,49.65
168,inf,3220,49.66
169,inf,3220,49.67
170,inf,3220,49.69
171,inf,3220,49.71
172,inf,3220,49.72
173,inf,3220,49.73
174,inf,3220,49.75
175,inf,3220,49.76
176,inf,3220,49.77
177,inf,3220,49.78
178,inf,3220,49.79
179,inf,3220,49.81
180,inf,3220,49.82
181,inf,3220,49.83
182,inf,3220,49.84
183,inf,3220,49.85
184,inf,3220,49.87
185,inf,3220,49.88
186,inf,3220,49.89
187,inf,3220,49.90
188,inf,3220,49.91
189,inf,3220,49.92
190,inf,3220,49.93
191,inf,3220,49.95
192,inf,3220,49.96
193,inf,3220,49.97
194,inf,3220,49.98
195,inf,3220,49.99
196,inf,3220,50.00
197,inf,3220,50.01
198,inf,3220,50.02
199,inf,3220,50.03
200,inf,3220,50.04
201,inf,3220,50.27
202,inf,3220,50.29
203,inf,3220,50.30
204,inf,3220,50.31
205,inf,3220,50.32
206,inf,3220,50.34
207,inf,3220,50.35
208,inf,3220,50.37
209,inf,3220,50.38
210,inf,3220,50.39
211,inf,3220,50.40
212,inf,3220,50.41
213,inf,3220,50.42
214,inf,3220,50.44
215,inf,3220,50.46
216,inf,3220,50.47
217,inf,3220,50.49
218,inf,3220,50.50
219,inf,3220,50.51
220,inf,3220,50.52
221,inf,3220,50.54
222,inf,3220,50.55
223,inf,3220,50.56
224,inf,3220,50.57
225,inf,3220,50.58
226,inf,3220,50.59
227,inf,3220,50.61
228,inf,3220,50.62
229,inf,3220,50.63
230,inf,3220,50.65
231,inf,3220,50.66
232,inf,3220,50.67
233,inf,3220,50.68
234,inf,3220,50.69
235,inf,3220,50.70
236,inf,3220,50.71
237,inf,3220,50.72
238,inf,3220,50.74
239,inf,3220,50.75
240,inf,3220,50.76
241,inf,3220,50.77
242,inf,3220,50.79
243,inf,3220,50.80
244,inf,3220,50.81
245,inf,3220,50.82
246,inf,3220,50.83
247,inf,3220,50.84
248,inf,3220,50.85
249,inf,3220,50.87
250,inf,3220,50.88
251,inf,3220,51.10
252,inf,3220,51.12
253,inf,3220,51.13
254,inf,3220,51.14
255,inf,3220,51.15
256,inf,3220,51.17
257,inf,3220,51.19
258,inf,3220,51.20
259,inf,3220,51.21
260,inf,3220,51.22
261,inf,3220,51.23
262,inf,3220,51.25
263,inf,3220,51.27
264,inf,3220,51.28
265,inf,3220,51.29
266,inf,3220,51.30
267,inf,3220,51.31
268,inf,3220,51.32
269,inf,3220,51.33
270,inf,3220,51.34
271,inf,3220,51.36
